dt_abertura;Semana;Ano;Mes;Dia;CurYTDFlag;LastYTDFlag;MesAno;Trimestre;SemanaAno;DiaSemana
11/08/1942;33;1942;ago;11;0;0;ago-1942;3º Trimestre;33-1942;ter
12/08/1942;33;1942;ago;12;0;0;ago-1942;3º Trimestre;33-1942;qua
13/08/1942;33;1942;ago;13;0;0;ago-1942;3º Trimestre;33-1942;qui
14/08/1942;33;1942;ago;14;0;0;ago-1942;3º Trimestre;33-1942;sex
15/08/1942;33;1942;ago;15;0;0;ago-1942;3º Trimestre;33-1942;sáb
16/08/1942;34;1942;ago;16;0;0;ago-1942;3º Trimestre;34-1942;dom
17/08/1942;34;1942;ago;17;0;0;ago-1942;3º Trimestre;34-1942;seg
18/08/1942;34;1942;ago;18;0;0;ago-1942;3º Trimestre;34-1942;ter
19/08/1942;34;1942;ago;19;0;0;ago-1942;3º Trimestre;34-1942;qua
20/08/1942;34;1942;ago;20;0;0;ago-1942;3º Trimestre;34-1942;qui
21/08/1942;34;1942;ago;21;0;0;ago-1942;3º Trimestre;34-1942;sex
22/08/1942;34;1942;ago;22;0;0;ago-1942;3º Trimestre;34-1942;sáb
23/08/1942;35;1942;ago;23;0;0;ago-1942;3º Trimestre;35-1942;dom
24/08/1942;35;1942;ago;24;0;0;ago-1942;3º Trimestre;35-1942;seg
25/08/1942;35;1942;ago;25;0;0;ago-1942;3º Trimestre;35-1942;ter
26/08/1942;35;1942;ago;26;0;0;ago-1942;3º Trimestre;35-1942;qua
27/08/1942;35;1942;ago;27;0;0;ago-1942;3º Trimestre;35-1942;qui
28/08/1942;35;1942;ago;28;0;0;ago-1942;3º Trimestre;35-1942;sex
29/08/1942;35;1942;ago;29;0;0;ago-1942;3º Trimestre;35-1942;sáb
30/08/1942;36;1942;ago;30;0;0;ago-1942;3º Trimestre;36-1942;dom
31/08/1942;36;1942;ago;31;0;0;ago-1942;3º Trimestre;36-1942;seg
01/09/1942;36;1942;set;1;0;0;set-1942;3º Trimestre;36-1942;ter
02/09/1942;36;1942;set;2;0;0;set-1942;3º Trimestre;36-1942;qua
03/09/1942;36;1942;set;3;0;0;set-1942;3º Trimestre;36-1942;qui
04/09/1942;36;1942;set;4;0;0;set-1942;3º Trimestre;36-1942;sex
05/09/1942;36;1942;set;5;0;0;set-1942;3º Trimestre;36-1942;sáb
06/09/1942;37;1942;set;6;0;0;set-1942;3º Trimestre;37-1942;dom
07/09/1942;37;1942;set;7;0;0;set-1942;3º Trimestre;37-1942;seg
08/09/1942;37;1942;set;8;0;0;set-1942;3º Trimestre;37-1942;ter
09/09/1942;37;1942;set;9;0;0;set-1942;3º Trimestre;37-1942;qua
10/09/1942;37;1942;set;10;0;0;set-1942;3º Trimestre;37-1942;qui
11/09/1942;37;1942;set;11;0;0;set-1942;3º Trimestre;37-1942;sex
12/09/1942;37;1942;set;12;0;0;set-1942;3º Trimestre;37-1942;sáb
13/09/1942;38;1942;set;13;0;0;set-1942;3º Trimestre;38-1942;dom
14/09/1942;38;1942;set;14;0;0;set-1942;3º Trimestre;38-1942;seg
15/09/1942;38;1942;set;15;0;0;set-1942;3º Trimestre;38-1942;ter
16/09/1942;38;1942;set;16;0;0;set-1942;3º Trimestre;38-1942;qua
17/09/1942;38;1942;set;17;0;0;set-1942;3º Trimestre;38-1942;qui
18/09/1942;38;1942;set;18;0;0;set-1942;3º Trimestre;38-1942;sex
19/09/1942;38;1942;set;19;0;0;set-1942;3º Trimestre;38-1942;sáb
20/09/1942;39;1942;set;20;0;0;set-1942;3º Trimestre;39-1942;dom
21/09/1942;39;1942;set;21;0;0;set-1942;3º Trimestre;39-1942;seg
22/09/1942;39;1942;set;22;0;0;set-1942;3º Trimestre;39-1942;ter
23/09/1942;39;1942;set;23;0;0;set-1942;3º Trimestre;39-1942;qua
24/09/1942;39;1942;set;24;0;0;set-1942;3º Trimestre;39-1942;qui
25/09/1942;39;1942;set;25;0;0;set-1942;3º Trimestre;39-1942;sex
26/09/1942;39;1942;set;26;0;0;set-1942;3º Trimestre;39-1942;sáb
27/09/1942;40;1942;set;27;0;0;set-1942;3º Trimestre;40-1942;dom
28/09/1942;40;1942;set;28;0;0;set-1942;3º Trimestre;40-1942;seg
29/09/1942;40;1942;set;29;0;0;set-1942;3º Trimestre;40-1942;ter
30/09/1942;40;1942;set;30;0;0;set-1942;3º Trimestre;40-1942;qua
01/10/1942;40;1942;out;1;0;0;out-1942;4º Trimestre;40-1942;qui
02/10/1942;40;1942;out;2;0;0;out-1942;4º Trimestre;40-1942;sex
03/10/1942;40;1942;out;3;0;0;out-1942;4º Trimestre;40-1942;sáb
04/10/1942;41;1942;out;4;0;0;out-1942;4º Trimestre;41-1942;dom
05/10/1942;41;1942;out;5;0;0;out-1942;4º Trimestre;41-1942;seg
06/10/1942;41;1942;out;6;0;0;out-1942;4º Trimestre;41-1942;ter
07/10/1942;41;1942;out;7;0;0;out-1942;4º Trimestre;41-1942;qua
08/10/1942;41;1942;out;8;0;0;out-1942;4º Trimestre;41-1942;qui
09/10/1942;41;1942;out;9;0;0;out-1942;4º Trimestre;41-1942;sex
10/10/1942;41;1942;out;10;0;0;out-1942;4º Trimestre;41-1942;sáb
11/10/1942;42;1942;out;11;0;0;out-1942;4º Trimestre;42-1942;dom
12/10/1942;42;1942;out;12;0;0;out-1942;4º Trimestre;42-1942;seg
13/10/1942;42;1942;out;13;0;0;out-1942;4º Trimestre;42-1942;ter
14/10/1942;42;1942;out;14;0;0;out-1942;4º Trimestre;42-1942;qua
15/10/1942;42;1942;out;15;0;0;out-1942;4º Trimestre;42-1942;qui
16/10/1942;42;1942;out;16;0;0;out-1942;4º Trimestre;42-1942;sex
17/10/1942;42;1942;out;17;0;0;out-1942;4º Trimestre;42-1942;sáb
18/10/1942;43;1942;out;18;0;0;out-1942;4º Trimestre;43-1942;dom
19/10/1942;43;1942;out;19;0;0;out-1942;4º Trimestre;43-1942;seg
20/10/1942;43;1942;out;20;0;0;out-1942;4º Trimestre;43-1942;ter
21/10/1942;43;1942;out;21;0;0;out-1942;4º Trimestre;43-1942;qua
22/10/1942;43;1942;out;22;0;0;out-1942;4º Trimestre;43-1942;qui
23/10/1942;43;1942;out;23;0;0;out-1942;4º Trimestre;43-1942;sex
24/10/1942;43;1942;out;24;0;0;out-1942;4º Trimestre;43-1942;sáb
25/10/1942;44;1942;out;25;0;0;out-1942;4º Trimestre;44-1942;dom
26/10/1942;44;1942;out;26;0;0;out-1942;4º Trimestre;44-1942;seg
27/10/1942;44;1942;out;27;0;0;out-1942;4º Trimestre;44-1942;ter
28/10/1942;44;1942;out;28;0;0;out-1942;4º Trimestre;44-1942;qua
29/10/1942;44;1942;out;29;0;0;out-1942;4º Trimestre;44-1942;qui
30/10/1942;44;1942;out;30;0;0;out-1942;4º Trimestre;44-1942;sex
31/10/1942;44;1942;out;31;0;0;out-1942;4º Trimestre;44-1942;sáb
01/11/1942;45;1942;nov;1;0;0;nov-1942;4º Trimestre;45-1942;dom
02/11/1942;45;1942;nov;2;0;0;nov-1942;4º Trimestre;45-1942;seg
03/11/1942;45;1942;nov;3;0;0;nov-1942;4º Trimestre;45-1942;ter
04/11/1942;45;1942;nov;4;0;0;nov-1942;4º Trimestre;45-1942;qua
05/11/1942;45;1942;nov;5;0;0;nov-1942;4º Trimestre;45-1942;qui
06/11/1942;45;1942;nov;6;0;0;nov-1942;4º Trimestre;45-1942;sex
07/11/1942;45;1942;nov;7;0;0;nov-1942;4º Trimestre;45-1942;sáb
