pk_cnae;nu_ordem_1;nu_ordem_2;nu_ordem_3;nu_ordem_4;nu_ordem_5;cd_ramo_atividade_1;cd_ramo_atividade_2;cd_ramo_atividade_3;cd_ramo_atividade_4;cd_ramo_atividade_5;de_ramo_atividade_1;de_ramo_atividade_2;de_ramo_atividade_3;de_ramo_atividade_4;de_ramo_atividade_5
2535;0;1;2;;;5212500;9329803;9602501;;;CABELEIREIROS MANICURE E PEDICURE;CARGA E DESCARGA;EXPLORACAO DE JOGOS DE SINUCA BILHAR E SIMILARES;;
2534;0;1;2;3;4;4754701;4754702;4755503;4759899;4781400;COMERCIO VAREJISTA DE ARTIGOS DE CAMA MESA E BANHO;COMERCIO VAREJISTA DE ARTIGOS DE COLCHOARIA;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE MOVEIS;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE
2536;0;1;2;3;4;1539400;2512800;2532201;3299003;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;FABRICACAO DE CALCADOS DE MATERIAIS NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE ESQUADRIAS DE METAL;FABRICACAO DE LETRAS LETREIROS E PLACAS DE QUALQUER MATERIAL EXCETO LUMINOSOS;PRODUCAO DE ARTEFATOS ESTAMPADOS DE METAL
2538;0;1;2;3;;5611201;5611203;5612100;5620102;;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;RESTAURANTES E SIMILARES;SERVICOS AMBULANTES DE ALIMENTACAO;SERVICOS DE ALIMENTACAO PARA EVENTOS E RECEPCOES  BUFE;
2537;0;1;2;3;4;1095300;1099699;2121103;4729699;4771701;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS SEM MANIPULACAO DE FORMULAS;FABRICACAO DE ESPECIARIAS MOLHOS TEMPEROS E CONDIMENTOS;FABRICACAO DE MEDICAMENTOS FITOTERAPICOS PARA USO HUMANO;FABRICACAO DE OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE
2533;0;1;2;;;4741500;4744001;4744099;;;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA;;
2531;0;1;2;;;2539001;4292801;4672900;;;COMERCIO ATACADISTA DE FERRAGENS E FERRAMENTAS;MONTAGEM DE ESTRUTURAS METALICAS;SERVICOS DE USINAGEM TORNEARIA E SOLDA;;
2571;0;1;;;;8599699;9602502;;;;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;OUTRAS ATIVIDADES DE ENSINO NAO ESPECIFICADAS ANTERIORMENTE;;;
2547;0;1;;;;8531700;8532500;;;;EDUCACAO SUPERIOR  GRADUACAO;EDUCACAO SUPERIOR  GRADUACAO E POSGRADUACAO;;;
2546;0;1;2;;;5620101;5620102;8230001;;;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA EMPRESAS;SERVICOS DE ALIMENTACAO PARA EVENTOS E RECEPCOES  BUFE;SERVICOS DE ORGANIZACAO DE FEIRAS CONGRESSOS EXPOSICOES E FESTAS;;
