pk_location;nm_logradouro;nu_logradouro;cd_cep;nm_bairro;nm_municipio;sg_uf;latitude;longitude;municipio_uf_pais
7334;RUA PADRE LEONARDO NUNES;440;81310415;VILA IZABEL;CURITIBA;PR;-25,4696955;-49,3019901;CURITIBA, PR, BR
7335;AVENIDA DO CONTORNO;6777;30110035;SANTO ANTONIO;BELO HORIZONTE;MG;-19,9397988;-43,9408615;BELO HORIZONTE, MG, BR
7336;AVENIDA JABAQUARA;1459;04045000;JABAQUARA;SAO PAULO;SP;-23,6171594;-46,6386675;SAO PAULO, SP, BR
7337;SITIO SANTO ANTONIO;SN;18890000;CORREGO GRANDE;TAGUAI;SP;-23,4536421;-49,4072136;TAGUAI, SP, BR
7338;RUA RENATO ARGOLO DE JESUS;445;45450000;2 DE JULHO;GANDU;BA;-13,7440757;-39,484901;GANDU, BA, BR
7339;RUA ESPERANTO;312;66615015;MARAMBAIA;BELEM;PA;-1,405381;-48,4455991;BELEM, PA, BR
7340;RUA TIBURCIO NEMESIO;156;57700000;CENTRO;VICOSA;AL;-9,363378;-36,238616;VICOSA, AL, BR
7341;RUA JORGE TEODORO DE AZEVEDO;76;84970000;VILA GUAIRA;SANTANA DO ITARARE;PR;-23,7566094;-49,6284213;SANTANA DO ITARARE, PR, BR
7342;RUA EZEQUIEL RAMOS;2;17010021;CENTRO;BAURU;SP;-22,3214421;-49,0750903;BAURU, SP, BR
7343;RUA PROFESSOR SANTANA MARQUES;161;68785000;CENTRO;COLARES;PA;-0,9298444;-48,2875235;COLARES, PA, BR
7344;RODOVIA BR 470;85;89130000;BENEDITO INDAIAL;INDAIAL;SC;-26,8724533;-49,2319362;INDAIAL, SC, BR
7345;AVENIDA SENADOR PINHEIRO MACHADO;2840;97800000;CENTRO;SAO LUIZ GONZAGA;RS;-28,4077243;-54,9558481;SAO LUIZ GONZAGA, RS, BR
7346;SETOR SEUP SUL EQ;710;70390108;ASA SUL;BRASILIA;DF;-15,7942287;-47,8821658;BRASILIA, DF, BR
7347;RUA FABIO ELIAS PINTO AFONSO;;72811370;ENGENHEIRO JOFRE PARADA;LUZIANIA;GO;-16,2514682;-47,9178219;LUZIANIA, GO, BR
7348;TRECHO MONTEIRO LOBATO;31;09710130;CENTRO;SAO BERNARDO DO CAMPO;SP;-23,7301379;-46,5737195;SAO BERNARDO DO CAMPO, SP, BR
7349;COMUNIDADE SAO DOMINGO I;;69600000;;SAO PAULO DE OLIVENCA;AM;-3,454282;-68,800056;SAO PAULO DE OLIVENCA, AM, BR
7350;RUA SAO LUIZ;1655;31035430;SAGRADA FAMILIA;BELO HORIZONTE;MG;-19,9007475;-43,913388;BELO HORIZONTE, MG, BR
7351;RODOVIA BR 70;SN;78110798;ZONA RURAL;VARZEA GRANDE;MT;-15,6421018;-56,1635607;VARZEA GRANDE, MT, BR
7352;RUA COMPOSITOR ROSIL CAVALCANTI;420O;58075000;;JOAO PESSOA;PB;-7,1591492;-34,9005486;JOAO PESSOA, PB, BR
7353;RUA CAPITAO CARLOS HERINGER;230;36976970;CENTRO;ALTO JEQUITIBA;MG;-20,4267378;-41,9644965;ALTO JEQUITIBA, MG, BR
7354;RUA SANTO EXPEDITO;223;09240425;VILA ALTO DE SANTO ANDRE;SANTO ANDRE;SP;-23,631407;-46,5214828;SANTO ANDRE, SP, BR
7355;RUA CORONEL JOSE PIRES DE ANDRADE;1186;04295001;VILA VERA;SAO PAULO;SP;-23,6253256;-46,6028168;SAO PAULO, SP, BR
7356;AVENIDA DJALMA BATISTA;1018;69050010;CHAPADA;MANAUS;AM;-3,1082824;-60,0236697;MANAUS, AM, BR
7357;AVENIDA DAS AMERICAS;700;22640100;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;-23,0078394;-43,441068;RIO DE JANEIRO, RJ, BR
7358;RUA OTACILIO CAMARA;520;96077670;AREAL;PELOTAS;RS;-31,7578015;-52,3254099;PELOTAS, RS, BR
7359;RUA JONATHAS DE VASCONCELOS;316;51021140;BOA VIAGEM;RECIFE;PE;-8,123581;-34,907771;RECIFE, PE, BR
7360;RUA ANITA GARIBALDI;1570;90480200;BOA VISTA;PORTO ALEGRE;RS;-30,0246008;-51,1801961;PORTO ALEGRE, RS, BR
7361;RUA DO MANGANES;113;13466705;VILA BIASI;AMERICANA;SP;-22,757851;-47,3287135;AMERICANA, SP, BR
7362;RUA COZO TAGUCHI;169;15370000;PRACA DA BANDEIRA;PEREIRA BARRETO;SP;-20,6293296;-51,1043365;PEREIRA BARRETO, SP, BR
7363;AVENIDA ANACE;390;05755090;JARDIM UMARIZAL;SAO PAULO;SP;-23,6202197;-46,7568171;SAO PAULO, SP, BR
7364;AVENIDA JULIO BUONO;2501;02201000;VILA GUSTAVO;SAO PAULO;SP;-23,4803659;-46,5860895;SAO PAULO, SP, BR
7365;AVENIDA MUIRAQUITA;141;68010130;INTERVENTORIA;SANTAREM;PA;-2,4411315;-54,694638;SANTAREM, PA, BR
7366;RUA DOUTOR CELSO RAMALHO;89;59022330;LAGOA SECA;NATAL;RN;-5,8097557;-35,21025;NATAL, RN, BR
7367;RUA CHIQUINHO DA QUITA;1018;35640000;VOLTA DO BREJO;POMPEU;MG;-19,2190124;-44,9874517;POMPEU, MG, BR
7368;AVENIDA ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA;4430;05564100;JARDIM EDUCANDARIO;SAO PAULO;SP;-23,5898525;-46,7703362;SAO PAULO, SP, BR
7369;RUA 4;SN;74475298;SETOR ESTRELA DALVA;GOIANIA;GO;-16,6820329;-49,266333;GOIANIA, GO, BR
7370;RUA CONDE DE PORTO ALEGRE;99;96400281;CENTRO;BAGE;RS;-31,3367642;-54,105991;BAGE, RS, BR
7371;SAUS QUADRA 4 BLOCO L;;70070922;ASA SUL;BRASILIA;DF;-15,8030459;-47,8820414;BRASILIA, DF, BR
7372;LAD EUSTAQUIO GOMES DE MELO;SN;57072360;CENTRO;MACEIO;AL;-9,6647845;-35,7348868;MACEIO, AL, BR
7373;RUA DOMICIANO RIBEIRO;432;02565090;CASA VERDE ALTA;SAO PAULO;SP;-23,4851092;-46,6702319;SAO PAULO, SP, BR
7374;RUA DA VITORIA;2A;65041100;VILA ITAMAR;SAO LUIS;MA;-2,5189234;-44,2178951;SAO LUIS, MA, BR
7375;RUA CELSO TOZZO;443;89819000;CENTRO;CORDILHEIRA ALTA;SC;-26,9839111;-52,5998085;CORDILHEIRA ALTA, SC, BR
7376;RUA 5 DE SETEMBRO;SN;69800000;CENTRO;HUMAITA;AM;-7,5061665;-63,0271717;HUMAITA, AM, BR
7377;RUA FREDERICO LEMOS;963;77500000;CENTRO;PORTO NACIONAL;TO;-10,7053294;-48,4165398;PORTO NACIONAL, TO, BR
